Field Name,Meaning,JSON Type,Requiredness,Nullable,Empty Allowed,Format or Enum,Conditional Requiredness,Normative Source,Owner,Security Classification,Retention Classification,Integrity Participation,Valid Example,Invalid Example,Admission Interaction,Replay Interaction,Test
source_type,Executable semantics defined by Event Envelope v1 §Field Closure: source_type,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"[""SOLANA_RPC"", ""SOLANA_GEYSER"", ""SOLANA_WEBSOCKET"", ""DEX_API"", ""SOCIAL_API"", ""INTERNAL"", ""SYNTHETIC""]",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
source_record_id,Executable semantics defined by Event Envelope v1 §Field Closure: source_record_id,string,Optional non-null when present,No,Only related_entity_refs may be empty,^[A-Za-z0-9:._/-]+$,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
subject_ref,Executable semantics defined by Event Envelope v1 §Field Closure: subject_ref,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/entityRef,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
related_entity_refs,Executable semantics defined by Event Envelope v1 §Field Closure: related_entity_refs,array,Required,No,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
token_case_id,Executable semantics defined by Event Envelope v1 §Field Closure: token_case_id,string,Optional non-null when present,No,Only related_entity_refs may be empty,^urn:dex-ai:token-case:(canonical|provisional):[0-9a-f]{32}$,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
event_time,Executable semantics defined by Event Envelope v1 §Field Closure: event_time,ref/union/enum/const,Optional non-null when present,No,Only related_entity_refs may be empty,#/$defs/timestamp,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
observed_at,Executable semantics defined by Event Envelope v1 §Field Closure: observed_at,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/timestamp,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
ingested_at,Executable semantics defined by Event Envelope v1 §Field Closure: ingested_at,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/timestamp,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
available_at,Executable semantics defined by Event Envelope v1 §Field Closure: available_at,ref/union/enum/const,Required,Yes only when schema union includes null,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
block_slot,Executable semantics defined by Event Envelope v1 §Field Closure: block_slot,integer,Optional non-null when present,No,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
block_time,Executable semantics defined by Event Envelope v1 §Field Closure: block_time,ref/union/enum/const,Optional non-null when present,No,Only related_entity_refs may be empty,#/$defs/timestamp,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
tx_signature,Executable semantics defined by Event Envelope v1 §Field Closure: tx_signature,string,Optional non-null when present,No,Only related_entity_refs may be empty,"^[1-9A-HJ-NP-Za-km-z]{64,88}$",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
instruction_index,Executable semantics defined by Event Envelope v1 §Field Closure: instruction_index,integer,Optional non-null when present,No,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
inner_index,Executable semantics defined by Event Envelope v1 §Field Closure: inner_index,integer,Optional non-null when present,No,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
ordering_key,Executable semantics defined by Event Envelope v1 §Field Closure: ordering_key,string,Required,No,Only related_entity_refs may be empty,"^urn:dex-ai:ordering:[a-z0-9][a-z0-9:._-]{2,127}$",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
ordering_position,Executable semantics defined by Event Envelope v1 §Field Closure: ordering_position,string,Required,No,Only related_entity_refs may be empty,"^(chain:[0-9]{1,20}:[1-9A-HJ-NP-Za-km-z]{64,88}:[0-9]{1,5}:[0-9]{1,5}|source:[0-9]{20}:[A-Za-z0-9._:-]{1,128})$",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
idempotency_key,Executable semantics defined by Event Envelope v1 §Field Closure: idempotency_key,string,Required,No,Only related_entity_refs may be empty,^sha256:[0-9a-f]{64}$,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
correlation_id,Executable semantics defined by Event Envelope v1 §Field Closure: correlation_id,string,Required,No,Only related_entity_refs may be empty,^urn:dex-ai:correlation:[0-9a-f]{32}$,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
causation_event_id,Executable semantics defined by Event Envelope v1 §Field Closure: causation_event_id,ref/union/enum/const,Required,Yes only when schema union includes null,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
trace_context,Executable semantics defined by Event Envelope v1 §Field Closure: trace_context,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/trace,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
payload,Executable semantics defined by Event Envelope v1 §Field Closure: payload,object,Required,No,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,payload only,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
payload_hash,Executable semantics defined by Event Envelope v1 §Field Closure: payload_hash,string,Required,No,Only related_entity_refs may be empty,^sha256:[0-9a-f]{64}$,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
raw_ref,Executable semantics defined by Event Envelope v1 §Field Closure: raw_ref,ref/union/enum/const,Required,Yes only when schema union includes null,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
verification_status,Executable semantics defined by Event Envelope v1 §Field Closure: verification_status,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"[""UNVERIFIED"", ""VERIFIED"", ""FAILED""]",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
finality_status,Executable semantics defined by Event Envelope v1 §Field Closure: finality_status,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"[""NOT_APPLICABLE"", ""PROCESSED"", ""CONFIRMED"", ""FINALIZED"", ""UNKNOWN""]",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
provenance,Executable semantics defined by Event Envelope v1 §Field Closure: provenance,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/provenance,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
quality_flags,Executable semantics defined by Event Envelope v1 §Field Closure: quality_flags,array,Required,No,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
schema_versions,Executable semantics defined by Event Envelope v1 §Field Closure: schema_versions,object,Required,No,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
supersedes_event_id,Executable semantics defined by Event Envelope v1 §Field Closure: supersedes_event_id,ref/union/enum/const,Optional non-null when present,No,Only related_entity_refs may be empty,#/$defs/eventId,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
corrects_event_id,Executable semantics defined by Event Envelope v1 §Field Closure: corrects_event_id,ref/union/enum/const,Optional non-null when present,No,Only related_entity_refs may be empty,#/$defs/eventId,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
revokes_event_id,Executable semantics defined by Event Envelope v1 §Field Closure: revokes_event_id,ref/union/enum/const,Optional non-null when present,No,Only related_entity_refs may be empty,#/$defs/eventId,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
data_classification,Executable semantics defined by Event Envelope v1 §Field Closure: data_classification,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"[""PUBLIC"", ""INTERNAL"", ""CONFIDENTIAL"", ""UNCLASSIFIED""]",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
retention_class,Executable semantics defined by Event Envelope v1 §Field Closure: retention_class,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"[""RAW_EVIDENCE_365D"", ""EVENT_730D"", ""DERIVED_365D"", ""SECURITY_AUDIT_2555D""]",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
integrity,Executable semantics defined by Event Envelope v1 §Field Closure: integrity,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/integrity,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
admission_status,Executable semantics defined by Event Envelope v1 §Field Closure: admission_status,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"[""STORED"", ""QUARANTINED"", ""VERIFIED"", ""AVAILABLE"", ""REJECTED""]",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
quarantine_reasons,Executable semantics defined by Event Envelope v1 §Field Closure: quarantine_reasons,array,Optional non-null when present,No,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
execution_mode,Executable semantics defined by Event Envelope v1 §Field Closure: execution_mode,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"[""LIVE"", ""REPLAY""]",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
replay,Executable semantics defined by Event Envelope v1 §Field Closure: replay,ref/union/enum/const,Required,Yes only when schema union includes null,Only related_entity_refs may be empty,null,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
